timestep,timestamp,baseline_temp,ai_temp,baseline_pmv,ai_pmv,baseline_kw,ai_kw
26,Day-Step 26,22.999999999999996,24.03182546971124,0.09766428955082945,0.36776884524455705,2.4706904907827503,2.8326936560534417
27,Day-Step 27,23.0,24.000001800084597,0.10368845418145765,0.32661986103046414,2.533963077557633,1.6352487513105685
28,Day-Step 28,23.0,24.000000177824482,0.11066130184346963,0.32238487471895566,2.5975984421820906,2.6043002690509702
29,Day-Step 29,22.999999999999996,24.000000017166393,0.118613253025612,0.3209395431176554,2.654843692795698,2.4006717932412993
30,Day-Step 30,23.000000000000004,23.04235553286932,0.12882586819712757,0.1848974166859283,2.686622899355184,3.3297893542393697
31,Day-Step 31,23.000000000000004,23.000031974451428,0.13826516151123888,0.1608146951957276,2.7697501988135955,2.3936013337799977
32,Day-Step 32,23.0,23.00000496084082,0.14805790487382867,0.16287241319913717,2.855100217792257,3.241975114405952
33,Day-Step 33,23.0,23.000000750971804,0.15769667707138638,0.16753946560873076,2.942103134036351,3.0799960693657447
34,Day-Step 34,23.000000000000004,23.48421183306126,0.16720507483861813,0.2438098973335201,3.028806103086704,3.3783047545760385
35,Day-Step 35,23.0,23.49953675409713,0.17654421063866663,0.26808706575894053,3.1194968481213214,3.156711048691547
36,Day-Step 36,22.999999999999996,23.499934724958177,0.18573545755116178,0.2780609923734785,3.2091512219042833,2.8879145354648488
37,Day-Step 37,23.0,23.499990329205264,0.1947198535601618,0.2876082720621404,3.2974431589792177,3.0764961086320204
38,Day-Step 38,22.999999999999996,23.98394453637344,0.20346893192073695,0.365531122460629,3.384172461369251,3.444189895299366
39,Day-Step 39,23.0,23.99954381579363,0.21191522116186368,0.39082152408404,3.4645065515171716,3.239506361513659
40,Day-Step 40,23.0,23.99993651941515,0.22000946512055383,0.4005185815352924,3.5429452043974705,2.9784993995653157
41,Day-Step 41,22.999999999999996,23.99999073588513,0.22758839958264285,0.40946469899104043,3.6329419024770777,3.1624761774517336
42,Day-Step 42,22.999999999999996,23.791395520717415,0.23432779761542516,0.3877641070143653,3.7386506964462916,3.677031687301326
43,Day-Step 43,23.0,23.756492378596334,0.24008947780764564,0.3834544188249521,3.8371138724528673,3.403896792379084
44,Day-Step 44,23.000000000000004,23.75107144237887,0.24488514819060783,0.38746310606061024,3.932022568565638,3.5674684392028975
45,Day-Step 45,23.0,23.750179243504263,0.2488253695800607,0.39259702295248344,4.023310789954424,3.5970383535837223
46,Day-Step 46,23.000000000000007,23.546458108960334,0.25197650943121847,0.3689501916360337,4.110935257032318,4.078449475897889
47,Day-Step 47,23.0,23.50823836945288,0.2542163018065137,0.3610337551562841,4.182801494449725,3.8232134434699705
48,Day-Step 48,22.999999999999996,23.501515428154008,0.25563289416243085,0.3610378976744458,4.249175424122862,3.9851985734242135
49,Day-Step 49,23.0,23.500280741526076,0.25633104679044455,0.3616871714806055,4.310341906004677,4.025225460987381
50,Day-Step 50,23.0,23.30063497298553,0.25639141288545464,0.33396646573555866,4.36661527161615,4.4975268207417365
51,Day-Step 51,23.0,23.25982424447672,0.25581282007445444,0.3213560582064664,4.4134943558096635,4.219895769334166
52,Day-Step 52,22.999999999999996,23.25195947976178,0.2545515617203245,0.31714341459054335,4.4545264679627,4.347258269401802
53,Day-Step 53,23.0,23.250391933856978,0.252807374929989,0.31414371886745274,4.4906220816655935,4.362307258485691
54,Day-Step 54,22.999999999999996,23.770820665749934,0.25056389992459704,0.38481717741326904,4.5218780574987845,4.555872993544799
55,Day-Step 55,23.0,23.798664756937324,0.24779658493403184,0.40371854906462723,4.54145396691595,4.3151992689518535
56,Day-Step 56,23.000000000000004,23.7997614712879,0.24450716500876662,0.4020973161780861,4.55535417759349,3.9721638988038195
57,Day-Step 57,23.000000000000004,23.79995662428842,0.24080579226527105,0.40056646584653577,4.564117999943656,4.05811510951846
58,Day-Step 58,23.0,23.599357449015244,0.2367537876772023,0.3700859980485362,4.568278590379923,4.492595912648587
59,Day-Step 59,22.999999999999996,23.55925125913906,0.23228031458717305,0.3547948714625499,4.5567058216328125,4.158649163572012
60,Day-Step 60,22.999999999999996,23.55176822252946,0.22731332437577087,0.34812744620584973,4.539032856218915,4.233510476254553
61,Day-Step 61,23.0,23.550335824214468,0.22226700544261882,0.3426255546249658,4.502782591756286,4.193165510310679
62,Day-Step 62,23.000000000000004,24.07362774328759,0.21762686226723627,0.4112401969678422,4.434048993974962,4.351257533994808
63,Day-Step 63,23.0,24.098932126730297,0.21315486684043247,0.4272230369443295,4.368633314894589,4.037207777712723
64,Day-Step 64,23.0,24.09982548635305,0.2084215569076739,0.42383243407328886,4.3161466793158345,3.625689799334302
65,Day-Step 65,23.0,24.099971236018607,0.20331083158694574,0.4204108413162827,4.269583441580605,3.654004578952497
66,Day-Step 66,22.999999999999996,23.894689809404493,0.19772672530227214,0.38738152862051284,4.223250182950196,4.021588113152072
67,Day-Step 67,23.000000000000004,23.857422472619817,0.19172853200441295,0.3710934655683641,4.1708163265589215,3.630310735370196
68,Day-Step 68,22.999999999999996,23.85125148121722,0.18527337176233163,0.36330268271530514,4.116060540336574,3.6651833864457504
69,Day-Step 69,22.999999999999996,23.85020746210264,0.17843468749823557,0.35670234169534787,4.059516789587135,3.5765308885249225
70,Day-Step 70,23.0,23.644830036222167,0.1712569434166935,0.321308857477957,4.00086868987072,3.9134510268630573
71,Day-Step 71,22.999999999999996,23.607419063016067,0.163953475682045,0.3031361084572061,3.91982791061017,3.5031258463377024
72,Day-Step 72,23.0,23.60124376782188,0.15662486611815474,0.29359543131385174,3.8366711171510506,3.5220209792518755
